organization,account,operation,asset,anch_val,non_anch_val
Moon Enterprises,ME Capital Fund,Delegation,CELO,0.00,108.25
Moon Enterprises,ME Capital Fund,Delegation,HASH,131.93,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,142.87
Firetronics,FT Venture Fund,Delegation,FLOW,103.58,0.00
Moon Enterprises,ME Capital Fund,Staking,FLOW,0.00,172.42
Electric Sheep,ES Capital Fund,Delegation,SEI,124.78,0.00
Firetronics,FT Capital Fund,Delegation,ETH,0.00,175.17
Moon Enterprises,ME Capital Fund,Delegation,ETH,106.88,0.00
Electric Sheep,ES Venture Fund,Staking,SOL,0.00,133.21
Moon Enterprises,ME Capital Fund,Delegation,ETH,196.71,0.00
Firetronics,FT Capital Fund,Staking,AXL,0.00,171.85
Moon Enterprises,ME Venture Fund,Delegation,HASH,179.17,0.00
Electric Sheep,ES Capital Fund,Staking,OSMO,0.00,185.57
Moon Enterprises,ME Venture Fund,Delegation,ROSE,183.99,0.00
Firetronics,FT Venture Fund,Delegation,ATOM,0.00,131.48
Electric Sheep,ES Capital Fund,Delegation,ATOM,164.32,0.00
Firetronics,FT Venture Fund,Delegation,SOL,0.00,121.47
Electric Sheep,ES Venture Fund,Delegation,HASH,141.36,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,132.42
Electric Sheep,ES Venture Fund,Staking,SOL,167.15,0.00
Electric Sheep,ES Venture Fund,Delegation,AXL,0.00,113.41
Electric Sheep,ES Capital Fund,Staking,FLOW,118.16,0.00
Electric Sheep,ES Venture Fund,Delegation,SEI,0.00,171.07
Moon Enterprises,ME Capital Fund,Staking,EVMOS,149.86,0.00
Moon Enterprises,ME Venture Fund,Delegation,CELO,0.00,131.54
Electric Sheep,ES Venture Fund,Staking,SEI,186.52,0.00
Moon Enterprises,ME Venture Fund,Staking,AXL,0.00,195.06
Firetronics,FT Capital Fund,Staking,SOL,126.25,0.00
Moon Enterprises,ME Venture Fund,Delegation,FLOW,0.00,109.73
Firetronics,FT Capital Fund,Staking,HASH,185.54,0.00
Firetronics,FT Venture Fund,Staking,EVMOS,0.00,130.39
Electric Sheep,ES Capital Fund,Staking,OSMO,125.72,0.00
Firetronics,FT Venture Fund,Staking,OSMO,0.00,184.10
Electric Sheep,ES Venture Fund,Staking,APT,196.26,0.00
Electric Sheep,ES Venture Fund,Staking,ETH,0.00,147.57
Moon Enterprises,ME Capital Fund,Staking,APT,183.29,0.00
Electric Sheep,ES Venture Fund,Staking,HASH,0.00,175.65
Electric Sheep,ES Venture Fund,Staking,SEI,136.23,0.00
Electric Sheep,ES Venture Fund,Delegation,ETH,0.00,165.75
Electric Sheep,ES Capital Fund,Staking,SOL,114.97,0.00
Firetronics,FT Venture Fund,Delegation,CELO,0.00,169.98
Moon Enterprises,ME Capital Fund,Delegation,ROSE,109.91,0.00
Firetronics,FT Venture Fund,Staking,EVMOS,0.00,124.58
Electric Sheep,ES Capital Fund,Delegation,HASH,183.75,0.00
Firetronics,FT Capital Fund,Staking,SUI,0.00,195.30
Electric Sheep,ES Venture Fund,Staking,OSMO,142.37,0.00
Moon Enterprises,ME Venture Fund,Delegation,OSMO,0.00,124.86
Moon Enterprises,ME Capital Fund,Delegation,FLOW,151.13,0.00
Firetronics,FT Venture Fund,Staking,HASH,0.00,141.23
Firetronics,FT Capital Fund,Staking,EVMOS,129.33,0.00
Moon Enterprises,ME Capital Fund,Delegation,HASH,0.00,139.40
Electric Sheep,ES Capital Fund,Staking,FLOW,159.62,0.00
Moon Enterprises,ME Capital Fund,Staking,ATOM,0.00,108.15
Moon Enterprises,ME Capital Fund,Delegation,APT,132.46,0.00
Moon Enterprises,ME Capital Fund,Staking,HASH,0.00,142.02
Firetronics,FT Capital Fund,Staking,HASH,122.86,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,144.51
Firetronics,FT Capital Fund,Staking,APT,120.62,0.00
Moon Enterprises,ME Venture Fund,Delegation,AXL,0.00,160.99
Moon Enterprises,ME Capital Fund,Staking,ROSE,100.75,0.00
Moon Enterprises,ME Venture Fund,Staking,SEI,0.00,132.73
Electric Sheep,ES Capital Fund,Staking,SUI,178.40,0.00
Moon Enterprises,ME Capital Fund,Delegation,EVMOS,0.00,156.54
Firetronics,FT Capital Fund,Delegation,APT,110.33,0.00
Electric Sheep,ES Venture Fund,Staking,SUI,0.00,137.55
Moon Enterprises,ME Capital Fund,Staking,ROSE,133.48,0.00
Moon Enterprises,ME Venture Fund,Staking,EVMOS,0.00,136.81
Electric Sheep,ES Venture Fund,Delegation,EVMOS,118.90,0.00
Firetronics,FT Venture Fund,Staking,SUI,0.00,127.84
Firetronics,FT Capital Fund,Staking,SEI,134.68,0.00
Moon Enterprises,ME Capital Fund,Delegation,EVMOS,0.00,117.98
Moon Enterprises,ME Venture Fund,Staking,ETH,102.65,0.00
Moon Enterprises,ME Capital Fund,Staking,SEI,0.00,173.12
Electric Sheep,ES Capital Fund,Delegation,APT,109.65,0.00
Electric Sheep,ES Venture Fund,Staking,OSMO,0.00,191.55
Moon Enterprises,ME Venture Fund,Staking,SOL,108.96,0.00
Firetronics,FT Venture Fund,Delegation,APT,0.00,106.32
Electric Sheep,ES Capital Fund,Delegation,FLOW,120.23,0.00
Moon Enterprises,ME Venture Fund,Delegation,ETH,0.00,116.60
Firetronics,FT Venture Fund,Delegation,EVMOS,118.93,0.00
Firetronics,FT Venture Fund,Delegation,FLOW,0.00,167.55
Moon Enterprises,ME Venture Fund,Delegation,ETH,112.32,0.00
Electric Sheep,ES Capital Fund,Delegation,ATOM,0.00,105.06
Firetronics,FT Venture Fund,Staking,CELO,186.69,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,185.45
Electric Sheep,ES Capital Fund,Staking,APT,178.37,0.00
Moon Enterprises,ME Venture Fund,Delegation,HASH,0.00,102.71
Firetronics,FT Capital Fund,Staking,AXL,129.18,0.00
Electric Sheep,ES Venture Fund,Delegation,AXL,0.00,150.13
Electric Sheep,ES Venture Fund,Delegation,SUI,113.82,0.00
Moon Enterprises,ME Capital Fund,Staking,FLOW,0.00,117.82
Firetronics,FT Capital Fund,Delegation,FLOW,106.92,0.00
Electric Sheep,ES Venture Fund,Staking,SEI,0.00,102.68
Electric Sheep,ES Capital Fund,Delegation,ETH,161.25,0.00
Firetronics,FT Venture Fund,Delegation,HASH,0.00,141.51
Electric Sheep,ES Capital Fund,Delegation,EVMOS,149.82,0.00
Moon Enterprises,ME Venture Fund,Delegation,ATOM,0.00,124.47
Moon Enterprises,ME Venture Fund,Delegation,HASH,107.23,0.00
Firetronics,FT Capital Fund,Delegation,HASH,0.00,178.36
Firetronics,FT Venture Fund,Delegation,HASH,107.88,0.00
Firetronics,FT Capital Fund,Staking,CELO,0.00,105.68
Firetronics,FT Capital Fund,Delegation,OSMO,177.19,0.00
Firetronics,FT Capital Fund,Delegation,SEI,0.00,181.00
Firetronics,FT Capital Fund,Delegation,CELO,197.70,0.00
Electric Sheep,ES Venture Fund,Staking,SUI,0.00,173.44
Moon Enterprises,ME Capital Fund,Staking,APT,154.15,0.00
Firetronics,FT Capital Fund,Staking,ROSE,0.00,118.56
Moon Enterprises,ME Capital Fund,Staking,EVMOS,158.05,0.00
Moon Enterprises,ME Venture Fund,Staking,SEI,0.00,165.63
Moon Enterprises,ME Capital Fund,Delegation,SEI,117.50,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,140.25
Moon Enterprises,ME Capital Fund,Staking,ATOM,118.80,0.00
Moon Enterprises,ME Capital Fund,Delegation,OSMO,0.00,192.61
Electric Sheep,ES Venture Fund,Staking,SEI,173.93,0.00
Electric Sheep,ES Capital Fund,Staking,APT,0.00,172.09
Moon Enterprises,ME Capital Fund,Staking,CELO,179.94,0.00
Moon Enterprises,ME Capital Fund,Delegation,ATOM,0.00,131.87
Firetronics,FT Capital Fund,Delegation,ROSE,160.67,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,172.61
Electric Sheep,ES Capital Fund,Staking,HASH,150.26,0.00
Electric Sheep,ES Capital Fund,Staking,ETH,0.00,137.01
Electric Sheep,ES Venture Fund,Delegation,AXL,153.95,0.00
Moon Enterprises,ME Capital Fund,Staking,SOL,0.00,154.16
Firetronics,FT Venture Fund,Delegation,SEI,159.73,0.00
Firetronics,FT Venture Fund,Staking,APT,0.00,104.13
Firetronics,FT Capital Fund,Delegation,ETH,170.25,0.00
Moon Enterprises,ME Venture Fund,Delegation,OSMO,0.00,163.10
Firetronics,FT Venture Fund,Staking,SEI,108.64,0.00
Moon Enterprises,ME Venture Fund,Delegation,ETH,0.00,125.30
Firetronics,FT Venture Fund,Delegation,ETH,168.84,0.00
Moon Enterprises,ME Venture Fund,Staking,SOL,0.00,132.89
Firetronics,FT Venture Fund,Delegation,HASH,160.36,0.00
Firetronics,FT Capital Fund,Delegation,APT,0.00,190.93
Moon Enterprises,ME Venture Fund,Staking,SOL,108.23,0.00
Electric Sheep,ES Capital Fund,Delegation,ROSE,0.00,170.44
Firetronics,FT Capital Fund,Delegation,APT,132.70,0.00
Moon Enterprises,ME Capital Fund,Staking,AXL,0.00,190.53
Electric Sheep,ES Venture Fund,Staking,APT,188.13,0.00
Electric Sheep,ES Venture Fund,Delegation,HASH,0.00,100.56
Firetronics,FT Capital Fund,Staking,SOL,174.86,0.00
Electric Sheep,ES Venture Fund,Staking,ETH,0.00,108.84
Firetronics,FT Capital Fund,Delegation,ETH,148.03,0.00
Moon Enterprises,ME Venture Fund,Delegation,SOL,0.00,138.32
Electric Sheep,ES Venture Fund,Staking,FLOW,178.28,0.00
Firetronics,FT Venture Fund,Delegation,AXL,0.00,124.42
Moon Enterprises,ME Venture Fund,Staking,SUI,110.57,0.00
Electric Sheep,ES Venture Fund,Delegation,OSMO,0.00,195.01
Electric Sheep,ES Capital Fund,Delegation,APT,132.86,0.00
Electric Sheep,ES Venture Fund,Staking,CELO,0.00,110.09
Firetronics,FT Venture Fund,Delegation,ROSE,162.07,0.00
Moon Enterprises,ME Capital Fund,Staking,OSMO,0.00,121.80
Electric Sheep,ES Capital Fund,Staking,EVMOS,118.06,0.00
Electric Sheep,ES Capital Fund,Staking,FLOW,0.00,172.41
Electric Sheep,ES Venture Fund,Staking,OSMO,164.92,0.00
Moon Enterprises,ME Venture Fund,Delegation,ROSE,0.00,150.04
Moon Enterprises,ME Capital Fund,Staking,ATOM,129.19,0.00
Firetronics,FT Venture Fund,Staking,EVMOS,0.00,180.00
Moon Enterprises,ME Capital Fund,Staking,EVMOS,141.51,0.00
Electric Sheep,ES Venture Fund,Staking,ROSE,0.00,195.93
Moon Enterprises,ME Capital Fund,Delegation,APT,111.49,0.00
Moon Enterprises,ME Capital Fund,Staking,SUI,0.00,113.73
Firetronics,FT Venture Fund,Staking,FLOW,154.59,0.00
Firetronics,FT Venture Fund,Staking,ROSE,0.00,128.63
Electric Sheep,ES Capital Fund,Delegation,SEI,104.33,0.00
Moon Enterprises,ME Capital Fund,Staking,HASH,0.00,100.94
Electric Sheep,ES Capital Fund,Delegation,OSMO,182.51,0.00
Firetronics,FT Venture Fund,Delegation,APT,0.00,140.69
Electric Sheep,ES Capital Fund,Delegation,CELO,129.30,0.00
Firetronics,FT Capital Fund,Staking,SEI,0.00,102.63
Electric Sheep,ES Venture Fund,Delegation,AXL,188.66,0.00
Firetronics,FT Venture Fund,Staking,AXL,0.00,199.29
Moon Enterprises,ME Venture Fund,Staking,APT,122.03,0.00
Firetronics,FT Capital Fund,Delegation,FLOW,0.00,151.74
Moon Enterprises,ME Capital Fund,Staking,HASH,173.44,0.00
Firetronics,FT Capital Fund,Delegation,HASH,0.00,156.41
Moon Enterprises,ME Capital Fund,Staking,HASH,126.20,0.00
Moon Enterprises,ME Venture Fund,Delegation,EVMOS,0.00,155.52
Firetronics,FT Capital Fund,Delegation,FLOW,184.80,0.00
Firetronics,FT Capital Fund,Staking,CELO,0.00,190.36
Firetronics,FT Capital Fund,Delegation,ROSE,122.13,0.00
Moon Enterprises,ME Venture Fund,Staking,AXL,0.00,127.79
Electric Sheep,ES Capital Fund,Staking,ETH,113.22,0.00
Firetronics,FT Venture Fund,Delegation,ETH,0.00,121.43
Firetronics,FT Venture Fund,Staking,HASH,135.51,0.00
Moon Enterprises,ME Capital Fund,Delegation,ATOM,0.00,127.21
Firetronics,FT Venture Fund,Delegation,EVMOS,139.04,0.00
Electric Sheep,ES Capital Fund,Delegation,FLOW,0.00,115.61
Electric Sheep,ES Venture Fund,Staking,SOL,193.66,0.00
Moon Enterprises,ME Capital Fund,Delegation,SOL,0.00,173.53
Firetronics,FT Venture Fund,Staking,SEI,177.40,0.00
Firetronics,FT Venture Fund,Delegation,SEI,0.00,146.72
Moon Enterprises,ME Capital Fund,Delegation,AXL,174.48,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,178.58
Firetronics,FT Capital Fund,Delegation,SOL,106.10,0.00
Firetronics,FT Capital Fund,Staking,SOL,0.00,162.84
Electric Sheep,ES Venture Fund,Delegation,SUI,126.20,0.00
Firetronics,FT Venture Fund,Delegation,FLOW,0.00,137.80
Moon Enterprises,ME Capital Fund,Staking,FLOW,160.06,0.00
Firetronics,FT Venture Fund,Delegation,ATOM,0.00,149.80
Electric Sheep,ES Venture Fund,Delegation,OSMO,193.14,0.00
Electric Sheep,ES Venture Fund,Delegation,APT,0.00,182.24
Moon Enterprises,ME Venture Fund,Delegation,CELO,172.83,0.00
Firetronics,FT Capital Fund,Staking,CELO,0.00,186.29
Firetronics,FT Venture Fund,Staking,SOL,189.22,0.00
Firetronics,FT Capital Fund,Delegation,AXL,0.00,176.80
Electric Sheep,ES Capital Fund,Delegation,OSMO,124.86,0.00
Firetronics,FT Venture Fund,Staking,SEI,0.00,184.04
Firetronics,FT Venture Fund,Staking,HASH,196.98,0.00
Firetronics,FT Venture Fund,Delegation,OSMO,0.00,151.73
Electric Sheep,ES Venture Fund,Delegation,AXL,165.74,0.00
Moon Enterprises,ME Venture Fund,Staking,CELO,0.00,166.50
Moon Enterprises,ME Capital Fund,Staking,HASH,164.60,0.00
Moon Enterprises,ME Capital Fund,Staking,SOL,0.00,179.51
Electric Sheep,ES Venture Fund,Staking,AXL,157.36,0.00
Moon Enterprises,ME Capital Fund,Staking,SEI,0.00,134.87
Electric Sheep,ES Capital Fund,Delegation,APT,180.41,0.00
Electric Sheep,ES Venture Fund,Delegation,OSMO,0.00,163.73
Firetronics,FT Capital Fund,Staking,EVMOS,164.21,0.00
Firetronics,FT Capital Fund,Staking,HASH,0.00,137.50
Firetronics,FT Venture Fund,Delegation,HASH,106.39,0.00
Moon Enterprises,ME Capital Fund,Delegation,ROSE,0.00,159.83
Firetronics,FT Capital Fund,Staking,EVMOS,194.56,0.00
Firetronics,FT Venture Fund,Delegation,SUI,0.00,192.98
Firetronics,FT Capital Fund,Staking,SEI,142.03,0.00
Electric Sheep,ES Venture Fund,Delegation,ROSE,0.00,131.60
Electric Sheep,ES Venture Fund,Delegation,ROSE,160.91,0.00
Electric Sheep,ES Capital Fund,Delegation,APT,0.00,110.81
Electric Sheep,ES Venture Fund,Staking,ATOM,115.55,0.00
Electric Sheep,ES Venture Fund,Delegation,HASH,0.00,153.21
Electric Sheep,ES Capital Fund,Staking,HASH,197.43,0.00
Moon Enterprises,ME Capital Fund,Staking,CELO,0.00,186.34
Moon Enterprises,ME Capital Fund,Delegation,SEI,139.62,0.00
Electric Sheep,ES Capital Fund,Staking,FLOW,0.00,128.17
Moon Enterprises,ME Venture Fund,Delegation,CELO,175.70,0.00
Firetronics,FT Venture Fund,Delegation,FLOW,0.00,183.21
Firetronics,FT Venture Fund,Delegation,SOL,116.85,0.00
Firetronics,FT Venture Fund,Staking,CELO,0.00,120.29
Firetronics,FT Capital Fund,Staking,OSMO,150.94,0.00
Electric Sheep,ES Venture Fund,Staking,ATOM,0.00,149.20
Electric Sheep,ES Capital Fund,Delegation,FLOW,198.98,0.00
Moon Enterprises,ME Venture Fund,Delegation,AXL,0.00,165.59
Electric Sheep,ES Capital Fund,Staking,AXL,185.75,0.00
Moon Enterprises,ME Venture Fund,Delegation,CELO,0.00,166.88
Moon Enterprises,ME Capital Fund,Delegation,ATOM,166.92,0.00
Electric Sheep,ES Capital Fund,Delegation,EVMOS,0.00,196.31
Moon Enterprises,ME Venture Fund,Staking,SOL,174.18,0.00
Electric Sheep,ES Venture Fund,Delegation,FLOW,0.00,150.64
Firetronics,FT Capital Fund,Delegation,ETH,185.11,0.00
Electric Sheep,ES Venture Fund,Delegation,EVMOS,0.00,191.06
Electric Sheep,ES Venture Fund,Staking,SUI,196.31,0.00
Moon Enterprises,ME Venture Fund,Delegation,ETH,0.00,184.51
Moon Enterprises,ME Capital Fund,Staking,ETH,185.45,0.00
Moon Enterprises,ME Venture Fund,Delegation,CELO,0.00,120.38
Moon Enterprises,ME Venture Fund,Delegation,SUI,179.35,0.00
Electric Sheep,ES Venture Fund,Staking,ROSE,0.00,127.23
Electric Sheep,ES Capital Fund,Delegation,ATOM,182.85,0.00
Electric Sheep,ES Capital Fund,Staking,SEI,0.00,166.46
Moon Enterprises,ME Capital Fund,Staking,APT,173.53,0.00
Moon Enterprises,ME Capital Fund,Delegation,SEI,0.00,104.25
Moon Enterprises,ME Capital Fund,Staking,HASH,172.31,0.00
Electric Sheep,ES Venture Fund,Staking,SUI,0.00,143.15
Electric Sheep,ES Venture Fund,Delegation,EVMOS,162.02,0.00
Electric Sheep,ES Venture Fund,Delegation,OSMO,0.00,143.11
Electric Sheep,ES Capital Fund,Delegation,FLOW,152.22,0.00
Moon Enterprises,ME Capital Fund,Delegation,OSMO,0.00,183.83
Firetronics,FT Venture Fund,Delegation,CELO,171.98,0.00
Moon Enterprises,ME Venture Fund,Delegation,SEI,0.00,109.58
Electric Sheep,ES Capital Fund,Delegation,ROSE,122.46,0.00
Firetronics,FT Capital Fund,Delegation,ROSE,0.00,102.91
Moon Enterprises,ME Venture Fund,Delegation,SUI,103.08,0.00
Moon Enterprises,ME Venture Fund,Staking,OSMO,0.00,116.35
Electric Sheep,ES Capital Fund,Staking,ETH,105.46,0.00
Moon Enterprises,ME Venture Fund,Delegation,AXL,0.00,174.86
Electric Sheep,ES Capital Fund,Staking,SUI,109.04,0.00
Firetronics,FT Capital Fund,Delegation,APT,0.00,141.00
Firetronics,FT Venture Fund,Staking,AXL,130.65,0.00
Electric Sheep,ES Venture Fund,Staking,FLOW,0.00,175.96
Moon Enterprises,ME Venture Fund,Staking,APT,173.44,0.00
Firetronics,FT Capital Fund,Staking,SUI,0.00,112.10
Moon Enterprises,ME Venture Fund,Delegation,SOL,180.19,0.00
Moon Enterprises,ME Capital Fund,Staking,ATOM,0.00,126.35
Moon Enterprises,ME Venture Fund,Staking,ROSE,169.62,0.00
Electric Sheep,ES Capital Fund,Staking,ATOM,0.00,130.55
Electric Sheep,ES Capital Fund,Delegation,SOL,101.71,0.00
Electric Sheep,ES Venture Fund,Staking,ETH,0.00,166.28
Electric Sheep,ES Venture Fund,Delegation,SEI,128.48,0.00
Moon Enterprises,ME Capital Fund,Delegation,SUI,0.00,107.94
Moon Enterprises,ME Venture Fund,Delegation,SOL,186.10,0.00
Moon Enterprises,ME Venture Fund,Staking,ROSE,0.00,100.92
Moon Enterprises,ME Capital Fund,Staking,ATOM,126.33,0.00
Electric Sheep,ES Venture Fund,Staking,ATOM,0.00,166.07
Electric Sheep,ES Capital Fund,Staking,SEI,178.49,0.00
Electric Sheep,ES Venture Fund,Delegation,EVMOS,0.00,138.27
Firetronics,FT Capital Fund,Delegation,EVMOS,179.52,0.00
Firetronics,FT Capital Fund,Staking,SEI,0.00,168.80
Electric Sheep,ES Venture Fund,Delegation,SOL,109.13,0.00
Moon Enterprises,ME Venture Fund,Delegation,EVMOS,0.00,169.19
Moon Enterprises,ME Capital Fund,Delegation,EVMOS,135.28,0.00
Moon Enterprises,ME Capital Fund,Delegation,CELO,0.00,152.65
Electric Sheep,ES Capital Fund,Staking,OSMO,134.00,0.00
Electric Sheep,ES Venture Fund,Staking,OSMO,0.00,131.58
Firetronics,FT Venture Fund,Delegation,OSMO,185.15,0.00
Firetronics,FT Venture Fund,Staking,CELO,0.00,138.53
Firetronics,FT Venture Fund,Delegation,ROSE,177.83,0.00
Moon Enterprises,ME Venture Fund,Staking,SOL,0.00,108.71
Electric Sheep,ES Venture Fund,Staking,ATOM,139.09,0.00
Moon Enterprises,ME Capital Fund,Staking,CELO,0.00,191.31
Moon Enterprises,ME Capital Fund,Staking,AXL,132.09,0.00
Moon Enterprises,ME Capital Fund,Delegation,SEI,0.00,129.25
Firetronics,FT Venture Fund,Staking,ATOM,151.61,0.00
Electric Sheep,ES Capital Fund,Staking,OSMO,0.00,145.02
Electric Sheep,ES Venture Fund,Staking,CELO,175.80,0.00
Moon Enterprises,ME Venture Fund,Delegation,APT,0.00,165.34
Moon Enterprises,ME Capital Fund,Delegation,HASH,134.82,0.00
Electric Sheep,ES Venture Fund,Delegation,ETH,0.00,199.83
Electric Sheep,ES Capital Fund,Delegation,EVMOS,142.09,0.00
Moon Enterprises,ME Venture Fund,Staking,CELO,0.00,163.21
Electric Sheep,ES Capital Fund,Delegation,AXL,192.73,0.00
Electric Sheep,ES Venture Fund,Staking,ROSE,0.00,128.92
Electric Sheep,ES Venture Fund,Staking,FLOW,142.26,0.00
Firetronics,FT Capital Fund,Staking,ETH,0.00,150.22
Electric Sheep,ES Venture Fund,Delegation,SEI,186.90,0.00
Firetronics,FT Capital Fund,Delegation,ROSE,0.00,180.18
Moon Enterprises,ME Venture Fund,Delegation,AXL,146.71,0.00
Firetronics,FT Venture Fund,Staking,ETH,0.00,188.93
Firetronics,FT Venture Fund,Delegation,EVMOS,124.54,0.00
Firetronics,FT Capital Fund,Delegation,APT,0.00,148.32
Electric Sheep,ES Venture Fund,Delegation,SOL,184.28,0.00
Moon Enterprises,ME Venture Fund,Delegation,CELO,0.00,183.08
Firetronics,FT Venture Fund,Delegation,ATOM,181.13,0.00
Firetronics,FT Venture Fund,Staking,FLOW,0.00,192.65
Electric Sheep,ES Venture Fund,Delegation,OSMO,102.32,0.00
Firetronics,FT Venture Fund,Delegation,EVMOS,0.00,119.57
Moon Enterprises,ME Venture Fund,Delegation,CELO,164.20,0.00
Electric Sheep,ES Venture Fund,Staking,SOL,0.00,103.42
Firetronics,FT Venture Fund,Delegation,FLOW,197.02,0.00
Moon Enterprises,ME Capital Fund,Staking,SOL,0.00,137.36
Moon Enterprises,ME Venture Fund,Delegation,SUI,172.31,0.00
Electric Sheep,ES Venture Fund,Staking,AXL,0.00,169.15
Firetronics,FT Capital Fund,Staking,SOL,150.11,0.00
Firetronics,FT Capital Fund,Staking,APT,0.00,164.01
Firetronics,FT Capital Fund,Staking,ROSE,132.54,0.00
Moon Enterprises,ME Capital Fund,Staking,AXL,0.00,164.29
Electric Sheep,ES Venture Fund,Staking,SEI,157.23,0.00
Electric Sheep,ES Capital Fund,Staking,SUI,0.00,123.49
Electric Sheep,ES Venture Fund,Staking,EVMOS,142.04,0.00
Firetronics,FT Capital Fund,Delegation,ETH,0.00,105.65
Electric Sheep,ES Venture Fund,Delegation,SEI,155.29,0.00
Moon Enterprises,ME Venture Fund,Staking,CELO,0.00,198.32
Moon Enterprises,ME Capital Fund,Staking,CELO,107.49,0.00
Electric Sheep,ES Venture Fund,Delegation,SEI,0.00,142.28
Moon Enterprises,ME Venture Fund,Staking,CELO,187.89,0.00
Electric Sheep,ES Venture Fund,Staking,HASH,0.00,108.95
Electric Sheep,ES Capital Fund,Delegation,HASH,106.11,0.00
Electric Sheep,ES Capital Fund,Delegation,SUI,0.00,105.18
Electric Sheep,ES Capital Fund,Staking,CELO,199.94,0.00
Firetronics,FT Venture Fund,Staking,ATOM,0.00,137.16
Moon Enterprises,ME Capital Fund,Staking,APT,198.26,0.00
Moon Enterprises,ME Venture Fund,Delegation,ATOM,0.00,162.63
Electric Sheep,ES Capital Fund,Staking,CELO,129.32,0.00
Moon Enterprises,ME Capital Fund,Delegation,ETH,0.00,182.54
Electric Sheep,ES Capital Fund,Staking,CELO,167.76,0.00
Moon Enterprises,ME Capital Fund,Staking,FLOW,0.00,153.54
Firetronics,FT Capital Fund,Staking,SUI,118.66,0.00
Moon Enterprises,ME Venture Fund,Staking,AXL,0.00,133.08
Electric Sheep,ES Capital Fund,Delegation,SOL,137.31,0.00
Electric Sheep,ES Venture Fund,Staking,CELO,0.00,189.31
Firetronics,FT Venture Fund,Delegation,EVMOS,155.86,0.00
Moon Enterprises,ME Venture Fund,Delegation,ETH,0.00,130.20
Electric Sheep,ES Capital Fund,Staking,SOL,198.06,0.00
Electric Sheep,ES Capital Fund,Staking,ROSE,0.00,181.20
